Text,Sentiment,
This app keeps getting expensive by the day im gonna download uber once your drivers are even rude,negative,
The last time I used this app it was terrible ....driver talks too much ....driver has a body odour ....the car was terrible and I even saw a cockroach in the car ....this is apparently the worse ride ever!!!!,negative,
It a Kak application drivers cancel to much I can't take this any longer,negative,
Some of your drivers they want this promotion for to pay with account they will tell you cancel i can't,negative,
It looks like you guys don't care about the scam that happens with your drivers and u don't answer your built_in app support chat.,negative,
"A driver who did NOT pick me up, said that he picked me up and drove all the way to my destination just to collect the money.",negative,
I wasn't happy cause it was my 1st time and it was suppose to be a free ride but i had to pay,negative,
I lost my phone in a trip from a local mall to my home and when i phoned a few times the driver put of the phone.,negative,
"The guy arrived, refused to come to the spot I actually requested him to come and then requested the journey as it was my friend not me even though I called him and confirmed her details.",negative,
I still got charged £8.80 for a £5 journey because of 'waiting time' which kept adding up bevause he was not cancelling.,negative,
Drivers on this app are useless,negative,
The app is not capturing the pickup point clearly thereby misleading the driver hence increasing the response time.,negative,
I recently had all my money withdrawn from my account.,neutral,
You guys have a very wrong estimation of charges.,negative,
"I normally select a bolt at CBD, telling me its a two minute wait time only to find out that the driver is in Westlands or south B for an instance.",neutral,
Terrible ride sharing app.,negative,
"Most times good and efficient but we getting more unclean drivers, dirty cars and rude drivers",negative,
!I(female) requested a ride yesterday (29 February 2020) around 10pm at night .,neutral,
The driver came with a man sitting in the passenger side of his car.,negative,
The driver called me to get into his car and I refused.,negative,
"Very efficient service, takes away any stress of booking a cab",positive,
Thnks and nice trip,positive,
LOVE their ride,positive,
Their cars are always in good clean condition.,positive,
"I have always had good, friendly drivers.",positive,
The prices are also always reasonable.,positive,
Fantastic ride,positive,
"Drivers are polite, trustworthy and very helpful.",positive,
Just sometimes prices are too high and too expensive for me.,negative,
Do you have a weekly service option we can use fro.,neutral,
Drivers are respectful and humbe and finding a ride is so easy,positive,
"Response is highly recommended and drivers are accommodative to my wheelchair bound son,even thou cars are so small but they always make a way for us and the wheelchair",positive,
Awesome and enjoyed my ride,positive,
Best convenient for students and adults who are in need of transportation.,positive,
It okay pls just upgrade your Gps cos i on wifi for most of the drivers just to end my trip,neutral,
Safe travels,positive,
The driver was just normal,neutral,
Great driver great music ...love it,positive,
"Clean,,good driver and lower prices",positive,
"Nice app, the drivers are quick to response",positive,
"Pathetic, got charged over twice the estimated price (other taxi companies are able to provide estimates very accurately, I have never had 1 problem with uber in over 200 trips) , customer support came up with some poor excuse, complete nonsense.",negative,
Please cancel ny trip,neutral,
Taxify is a reliable way of transportation but recently they at every month end time they pick up the prices to ridiculously high amounts,negative,
Some taxi drivers are extremely rude and disrespectful.,negative,
I don't understand why prices have to change on peak hours.,neutral,
Drivers are very good at cancelling trips... Why accept then cancel..,negative,
"Worked great for about 3 days, i use bolt to get to work and back, but now I can't seem to find a ride no matter what time of day or night.",negative,
The price is too much,negative,
Then the driver promised to bring the phone back the next day.,neutral,
Most drivers are very nice... and ok with GPS,positive,
"Love this app it's safe, it quick, it reasonably in prices",positive,
Despite a few hiccups the app is great nd the drivers are great too,positive,
"It's good having so many driver s, waiting time is less",positive,
I once had a driver cancel my ride when the weather was very cold because I didn't know he was my taxi and not just another car parking as he drove further up from where I was waiting.,negative,
"Very good app, always useful updates ment to to ease the user interface, the waiting time is quite approximate, could be improved.",positive,
Quality vehicles and good drivers,positive,
Please work on your GPS,neutral,
"For the company, the prices are better with good service.",positive,
"My main complaint is the battery usage which can be 7 to 15% when it's not even being used, this is a problem",negative,
"Great app overall, although the Activities section is a little cumbersome.",negative,
Worst syncing of data!!!,negative,
Database is slow and clunky for contacts.,negative,
Poor sync.,negative,
VERY POOR SYNCHRONIZATION OF DATA!,negative,
"Very slow to sync data, but ok app.",negative,
"Just barely functional - this app is extremely slow to load on start-up, sometimes taking up to 2 minutes just for the main screen to show up.",negative,
"While you can import your contacts from your phone, it is manual.",neutral,
"Lay out very good, easy to use but it is so frustratingly slow.",negative,
I expected to manage my emails through the app as I do on the desktop version.,negative,
I can't check the analytics on Android app,negative,
Nice app but can't find out how to log my calls :(,negative,
"Also, I have to use discard menu, not simply click the left arrow icon on the header.",negative,
On the mobile app I actually have to type of the address manually which is a massive chore.,negative,
So I am just using the desktop app for adding companies.,neutral,
You have to go find the listing again to to call report & schedule a new activity.,negative,
You can not see note and future activities easily from the phone when you are in the field to see if another rep is calling on a particular business already.,negative,
"When any call in your BASE database comes IN or goes OUT, the Base app pops up a & asks if you want to call report.",neutral,
That means no deals with products can be created.,negative,
"Pipedrive simply will not allow a lead to fade into ""no man's land"".",positive,
"After any communication with a customer, it instantly forces me to create another activity so that Everyone has a next steps plan in place at all times.",positive,
I HIGHLY recommend the integration with Gmail.,positive,
"The app works with Google Assistant as well, read out your tasks, take notes, logs incoming and outgoing calls to your contacts (if you want) and do much more.",positive,
Love the voice transcription function.,positive,
As soon as I speak with a client I'm able to add a note to their file upon handing up.,positive,
Helps me to keep track of all client updates.,positive,
"Easy to use, captures everything, exports easily.. Intuitive... Nice",positive,
Pipedrive helps keep us on track with our customers.,positive,
Especially with followup on repeat sales.,neutral,
Can easily add and remove seats as required.,positive,
"it helps me coordinate my sales on it , activities ,contact , companies and many more , it's the best CRM I have ever used.",positive,
Keeps my deals on track and helps me manage my day.,positive,
Best 👍💯 for managing all business department activities,positive,
"Intuitive UI, makes it very easy to keep track of things without feeling too forced.",positive,
Pipeline approach for managing deals is exactly what our business needs,positive,
Assists on keeping me in top of my deals and in touch with clients,positive,
Seamless experience managing the full pipeline.,positive,
Killer feature: caller ID and logging.,positive,
"Its easy to us, the design makes it easy to see your pipeline status.",positive,
"Brilliant sales funnel and pipeline, very user friendly, uncomplicated and seriously effective!",positive,
our implementation of PD cover sales and production so all custom field are visible across all pipelines.,neutral,
we have 200+ custom fields so it can be time consuming for guys in the field to track down the field they need.,negative,
I'm able to see how my sales team is doing and better predict sales in addition tp providing better customer service.,positive,
I especially love that the software links to other services like mailchimp.,positive,
Poor sync.,negative,
Also good for tracking your teams performance.,positive,
Great app well sync and Google support.,positive,
Best and most intuitive sales pipeline tool I've used!,positive,
I love that I can click on a contact call them and it logs the call.,positive,
"This ranked above the rest due to the great ux/ui and how well it works to automate, assign and convert prospects with its features.",positive,
The outgoing call feature is excellent but the text message button doesn't seam to connect with my android.,negative,
I very much like the automatic phone call log after each conversation.,positive,
Love the new call log feature.,positive,
Task and team management along with the sales and other activities.,neutral,
"I wanted something were I could easily see all my leads, whether or not there was a task assigned to the person  (which I could easily discern) and pipedrive delivered... and at $12 a month... so far I love it... and I have actually picked up 3 clients that I had been neglecting because they ""fell through the cracks"" no complaints at this point... LOVE THE PRODUCT!",positive,
"I had a simple question with something small regarding importing my contacts online and a lady on their support line not only helped me, but spent just under 2 hours on the phone with me 'holding my hand' showing me not only how the CRM worked, but the app.",positive,
"They advertise 
integration with Outlook 365.",neutral,
"Works fine and has all the basic features, but didn't tell me it would hold 
my information hostage after the trial runs out with no way to export your 
data without paying.",negative,
It's so slow just like their desktop version.,negative,
I tried searching company wide and just myself.,neutral,
"The app itself is really good, but is extremely slow.",negative,
So slow,negative,
Bad sinchronizing.,negative,
"Installation is quick and easy, especially email.",positive,
It helps me keep organize the activities to follow up it makes repetitive info emails easy w templates.,positive,
i've been working with pipedrive for 2 weeks and till now it's been very useful on keeping track deals,positive,
"There are some functions, however, that are not as user-friendly such as attaching files (which must be done one at a time, cannot upload multiple files simultaneously, i.e.",negative,
"I've come up with a functional workaround using tags, but it's cumbersome.",neutral,
"So I'm new to the CRM, seems like a great program so far, but here's my question... Just logged in with my Galaxy Tab S2, which I use in Landscape with a keyboard.",neutral,
"The second I logged in it switched me to portrait, which makes it unusable with the keyboard, and for me, my tablet as a whole.",negative,
Helps us in keeping a track of all leads.,positive,
Only if you open the profile or change to the view list.,neutral,
"The concept of tags, projects and folders is oh so incoherent.",negative,
"Time selector is horrible, if you don't want to use timers and prefer registering manually, you'll make lots of mistakes.",negative,
"You submit less important data is via ""save"" - it doesn't save anything, though, as the whole record is saved by ""done"".",negative,
You set report parameters by clicking outside modal.,neutral,
Adding entries to the past is suddenly hard to find and weird to set its details.,negative,
Changing the date of entries is weirdly hard to find.,negative,
I keep accidentally starting new timers when I only want to view/review the details of existing entries...yet again I started a new timer?....can we just revert back a year or so?,negative,
"It does track time, but is non-intuitive.",negative,
It's quick to add in time entries which I appreciate.,positive,
Having to go in to the app each time to stop the timer is a bit of a hastle,negative,
Time tracking is buggy.,negative,
-Tags are worthless since they don't stick when you restart a timer.,negative,
"It's just tracker, but even to open it or add new task from previous, takes a lot of time.",negative,
And it uses hashtags in your text fields to trigger project names and description tags.,neutral,
Turns out that I created a duplicate tag which caused validation errors.,negative,
Account needed even for quick try out,negative,
"It's time tracking, why can't we figure this out?",negative,
"Not much help on how to use, didn't make any sense on tracking projects, as I was only able to create one project... Also I couldn't see calendar 8n typical monthly calendar format.",negative,
"Perhaps, I didn't know the correct gestures on getting to do these tasks, but I didn't find this app intuitive.",negative,
App doesn't work offline.,negative,
"I have to do refresh multiple times, it loads the tasks I added from the web slowly on device even on Wi-Fi connection.",negative,
Why i cant sign up ?,negative,
Why is it acceptable to only target phones and not just phones but only portrait mode.,negative,
"The apps main feature, tracking time, is sketchy at best, and if you are tracking important things like I was, I would definitely suggest looking elsewhere.",negative,
After all it's not usable for time tracking - which would be its primary function.,negative,
The ability to track my time on specific projects has helped give me the data necessary to bill for hours worked.,positive,
A little sluggish but still one of the best time trackers!,positive,
Login via Google.,neutral,
Tracking different projects is easy with the tag system.,positive,
The reports system works exactly how I would want it to.,positive,
Love the new calendar feature.,positive,
"Great platform, also a free account provides a useful professional time tracking experience.",positive,
I like the weekly reports and live syncing between devices.,positive,
It's to annoying that we must stay online with desktop browser to export report to PDF.,negative,
"Also, dark theme finally works permanently!",positive,
It really changed the way I track my work.,positive,
Dark mode is working,neutral,
It can work online and offline.,positive,
Nice to use with the Toggl time tracking tool.,positive,
"Unfortunately, the reporting is not as comprehensive as it is in similar apps.",negative,
No breakdown of time spent on specific tasks within projects.,negative,
"Just uninstalled for the 2nd time, it doesn't always sync, hard to change clients, constant loading icon for no reason etc.",negative,
"It bothers my OCD a little, and sometimes it prevents me from selecting the task I want to edit if it's underneath other tasks.",negative,
"But finding a way to create a new project is awkward (almost hidden) and I couldn't create one, because it didn't do anything once I inserted all the info and pressed 'create'.",negative,
But apart from that Toggl is the best time tracker I've come across.,positive,
invoicing and categorizing work are very helpful.,positive,
UI/UX could improve a bit.,neutral,
"The idea behind the app is great, easy-to-use timers to track your work time.",positive,
"Clean, simple interface makes it easy to read, edit, and add entries, and the button in the options menu (with WiFi, Bluetooth, etc), makes it even easier to track time on the move.",positive,
The calendar is the best way to double check.,positive,
This is a good time tracking app and I have really enjoyed using it.,positive,
"On the whole it's inflexible, and doing anything to try to optimize your workflow with it just ends in frustration and arbitrary barriers.",negative,
"For example, can I install this on my baby sitters phone to track her hours, with out using my own email and password in her phone?",neutral,
I love this app for my time management.,positive,
"I just hate haveing to retype everything repeatedly because its trying to predict what im typing, so it ends up deleting what i did type.",negative,
It gives you weekly reports.,neutral,
"I have been using toggl for years and at some points, I was even tracking my sleep hours with toggl.",positive,
"It's easy to use, I don't waste time by tracking time :)",positive,
best free time tracker .,positive,
Love the chrome extension and the windows application,positive,
I have tried other time trackers and this one is the best (for me)!,positive,
It's a great help that you can link your calendars here.,positive,
"I have mostly used the app in the event I forget to log out/track my day, and it's been very responsive.",positive,
Great time tracking ap,positive,
This is Handy to have in case I leave a timer running.,positive,
Just good time tracker,positive,
"I miss the old function where you could pause your timer, rather than having to stop and restart for small interruptions.",negative,
A well designed and easy to use time tracker.,positive,
Best time tracking app for me,positive,
Great free app for freelancers to track their time by client and project.,positive,
Great tool to track time,positive,
Really helps you track the number of hours you're working.,positive,
This app helps me stay on track and calculate how many hours that are contributing to productivity.,positive,
This is a great app to keep track of your time!,positive,
I would recommend this to anybody that freelances our just wants to find out where their time is being spent,positive,
"User friendly and an easy way to track time, along with fun reports and a pomodoro add on!",positive,
Best time tracker.,positive,
This app has been great for tracking hours for my small business.,positive,
Awesome app to keep Track of time,positive,
Best time management app.,positive,
"Still using Toggl for time tracking, but the mobile experience has been awful.",negative,
Amazing tool for tracking time.,positive,
This app has given me some really needed insights,positive,
The new version is really wonderful with its ability to not just register but also predict some of my activities.,positive,
"Great app, I use it to keep track of my study ND personal project great",positive,
"Quick to use, nice data and charts",positive,
I have been using it to track my time for few weeks now.,neutral,
The calendar section of the app is exactly what I am looking for.,positive,
"I use this for tracking just about every structured activity, not just client work.",positive,
"Particularly having the widget to hand on the home screen and having the ability to auto populate previous activities, and stop and restart them.",neutral,
I really like the weekly report summary that comes to me by email.,positive,
"However, I can't figure out how to get this report on demand from the dashboard.",negative,
"Helps a lot with timesheets, very easy to use as well.",positive,
Good timer UX among the other times i have used so far,positive,
Easy-to-use time tracking app with web app and browser add-on.,positive,
simple time tracker.. easy to use..,positive,
A quick and easy way to track time,positive,
Very functional for tracking and reporting hourly billing.,positive,
Makes keeping track of time very easy.,positive,
I have struggled with other time trackers but never had a problem using toggl.,positive,
How do I make it stay in dark mode alll the time though?,neutral,
Absolutely essential app that lets me know where I'm at on hits towards a task per week.,positive,
I use this to track my part time studying and applying to jobs efforts.,positive,
"Great app to track your progress, it helps me in tracking my new year resolutions.",positive,
"Simple, intuitive and effective tracking of time spent on various projects and areas of work.",positive,
I particularly appreciate the integration with the Google Calendar on mobile and the Desktop App and the Chrome extension.,positive,
I track my time 24/7 with Toggl.,positive,
I really like the calendar view where i can visually see my use of time over the day.,positive,
I now track 168 hours using Toggl.,neutral,
"This works exactly how I want it to, clearly made by people who've had freelance experience trying to track hours.",positive,
Super easy to quickly adjust a running timer if you happened to lose too much time to your sister calling in the middle of work.,positive,
"Everything is very ""one button, done"" making time tracking as painless as possible.",positive,
Reports are helpful for quickly seeing how productive certain days are and getting project hour totals.,positive,
I am so grateful for being able to use this app to manage time ❤️ thank you so much for creating this 🙏,positive,
Super quick to load to start tracking.,positive,
It's easy to use and the ability to export time entries allows me to perform my own data analysis on my data.,positive,
That's my time recorder.,positive,
Usefull for time tracking,positive,
Very useful to record bits of work done on the go.,positive,
"Swapping and changing between several clients each day, Toggl has made invoicing clients so much easier.",positive,
I find it very helpful to time my hours put in for odd jobs and creative projects that i do.,positive,
Amazing time tracking tool.,positive,
Calendar integration is neat.,positive,
Great simple timetracker app,positive,
Works well for lawyer and paralegal timekeeping.,positive,
This app has made tracking time at work so much easier!,positive,
Easist way to teack my time without hindering my workflow.,positive,
A great app for simple time keeping.,positive,
The only problem I have is the time it takes to load which makes it difficult to swiftly switch between tasks and update on Toggl.,negative,
"Super intuitive and useful, especially when billing clients and helping me be more aware of how i use your time",positive,
"Handy tool for tracking time, creating reports, etc for multiple clients.",positive,
"Simple to use, nice overview and task breakdown",positive,
Toggl has been my go-to tool for tracking my effort at work over two years.,positive,
Effortless time tracking,positive,
"does exactly what I need, which is count time I spend on different tasks for clients.",positive,
Options to tag projects and clients seperately as well as timing Non billable hours is really helpful.,positive,
Well designed and easy to use time tracker with good integration between devices.,positive,
the UX is a little wonky in places (website is better) but it is amazingly useful to stnc up my timers across all my devices.,positive,
really helpful when it comes to personal tasks and time management.,positive,
So quick and handy for tracking work on complex projects,positive,
Very low rate and costly to send in bangladesh and India.,negative,
"It takes them couple of days to activate your account, the fees they charge are too big and their app is poorly designed.",negative,
A friend of mine recently sent me money from USA on Friday 21/02/20.,neutral,
"It used to be my favorite money transfer app, however it is in the last transfer so terrible.",negative,
They said I authorized them to credit the money directly to my borderless account.,negative,
It's a decend app but it's really annoying that sometimes the transfer takes 2 minutes and the other time 3 days... no logic behind it.,negative,
"The app is good, but they close my account with them for no reason, I can't tell why them deactivated my account.",negative,
"Iv been using this app for a little over 6 months now for day to day spending, online transfers, direct debits and having my salary paid into.",positive,
But this morning iv woken up to an email saying my account has been deactivated all funds are locked for at least 60 days (all the money i need to live off at this moment) they are withholding any information on why my account has been closed down.,negative,
They claim they pay the highest rate but it is lie.,negative,
It is an excuse to charge higher fees.,negative,
this application is not working fine I made a transfer since three day now my transaction was cancelled and I requested for refund they reply me it will take up to 3 - 5 days to refund it back and they didn't refund it up still now ...TransferWise need to work on this here is my membership number (p8096266),negative,
"After nearly two years of transferring, my bank is no longer on your ""list.""",negative,
Sorry we currently don't convert Malaysian Ringgit to PKR (OR ANY OTHER CURRENCY) WHAT IS THAT?,negative,
I was hoping to make all my international transfer using this but this is so disappointing.,negative,
I made 2 transfers on the 17th Feb using the app.,neutral,
"Sent money, and only after I paid app tell me that money will send yo reciever only after they check documents which is take 1-2 days, what for then you even let people send without verification?",negative,
Been trying to send money for the passed two hours and it's not very user friendly.,negative,
You signup and verify your account .. and when someone sends money to one of the borderless account .,neutral,
You create and Account and verify it.,neutral,
They will just deactivated your account without any notice.,negative,
"I can't send money to my home country, is not included in the options.",negative,
Very odd process of estimating transfer cost and then defaulting to an unrelated transfer.,negative,
I really dislike having to contact the support to get my account closed.,negative,
someone hacked & tried to login to my #TRANSFERWISE account.,negative,
transferring money delays initially they promised an hour of transfer.,negative,
"This application is 1/10 for my liking how can you guys just block someone with out a reason and customer care is frustrating, and my unpending transfer ow we i get my money back?",negative,
I made 12/02/2020 multiple transfers totaling over 10k in euros.,neutral,
Thanks for letting me know when I sent the money already.,neutral,
After a week of transmitting my money the app confirmed that it was sent to the recipient.,neutral,
Great way to transfer money between international and local accounts.,positive,
"Wow awesome this good apps, I can shared my money to my family it's very fast with cheaper fee.",positive,
Excellent rates available.,positive,
Just requies 2 to 3 minutes to complete your transaction,positive,
Great transfer/exchange rates.,positive,
Very convenient for sending money home once you get set up,positive,
This app is the second app am using to send money to Nigeria and it is the fastest and best.,positive,
So so easy to use and really good rates.,positive,
Sending money back home has never been this easy and more efficient.,positive,
"So easy to use, costumer service is brilliant and transfer money to any countries is cheaper than any banks.",positive,
"Easy to use, excellent customer service and great rates.",positive,
I'm happy by this app very fast transfer and working excellent,positive,
I recently transfered my tax return to the Philippines without any issues.,positive,
I have seen many negative issues but this last transfer sealed the deal for me.,positive,
"Not only do they offer the best rates on the currency transfer market, they can be trusted with your hard earned money.",positive,
"I was amazed by how promptly the money was transfered, within 4 hours!",positive,
I highly recommend this company for all your international currency transactions.,positive,
"100% genuine, very good exchange rates and very rapid money transfer.",positive,
fastest transfers money from Aud to Thai baht,positive,
Ideal for multi-currency accounts.,positive,
Very flexible and allows easy cross currency transactions your bank will normally gouge you on or take days to complete.,positive,
Knowing the rate you get removes all uncertainty and the rates are great.,positive,
Flipping between currencies is easy.,positive,
Best rate and efficiency,positive,
"After few feedback and they get back to me promply,i know its bit frustrating where some guide is available😁.can trust this app for your money transfer via country.now making a 2nd transfer due to covid-19 spreading without we notice and unable to travel home.",positive,
Have not used my card but I love that Green,positive,
"I just felt surprised, how efficient this platform to transfer money to other countries.",positive,
My experience is transferred money from Malaysia to Indonesia only took less than 8 hour until the money received by 3rd party.,positive,
"And i dare to say this, the best exchange rate I ever seen compare to banks",positive,
Easy to use and an excellent exchange rate,positive,
"Easy sending money, the app easy to use, good customer service, cheap fee and the best rate.",positive,
I frequently explore it to check FX rates.,neutral,
"So very simple to make transactions, it's scary.",positive,
I have used this app to transfer money to my brother in Sri Lanka.,neutral,
Excellent app to transfer money.,positive,
"Easy to use,transfer was quick enough and fee for transfer was reasonable.",positive,
I couldn't believe the speed of the transfer when I sent money last time to Sri Lanka.,positive,
Money was received in the same day in Sri Lanka.,positive,
"It's clear to see what currencies you hold, and easy to convert when you see an exchange rate that you like.",positive,
Maybe I do not travel a great of a deal but it has made my life of exchanging money SO much more comfortable.,positive,
All transactions have been seemless.,positive,
I've even just opened a business account to run my business and clients through this too.,positive,
"Well structured app, great rates and flawless execution.",positive,
Minimal fees and instant international transfers.,positive,
"I hope I will give a 5 star in the future..registration easy done ,,approved after less than 2 hours, email confirmation fast done,my card is on the way,,,(10 days,,,inside in Europe).. everything looks smooth.",positive,
The best and most uncomplicated app for money transfer that I had dealed with.,positive,
Good app for transfer money abroad.,positive,
I like this app very fast transfer money when you send other account.👍,positive,
"Very reasonable charge, up to date exchange rate and money gets transferred within minutes.",positive,
Very easy to use & reasonable rates.,positive,
Excellent rates and instant transfers enabled through Transferwise 👍,positive,
Perfect for all sort of transfers better and faster than bank transfer!,positive,
this is the best money sending app.,positive,
i always transfer money to south korea and i tried out other apps but they all either do not transfer to KRW or the bank account.,neutral,
"i've tried transferring money to other HKD & JPY as well, and they were all successfully sent.",positive,
verified payments fast & also transferred fast!,positive,
Really great and much better rates than traditional banks.,positive,
"A great, cheap way of accepting payments from abroad, transferring money, and spending in other currencies.",positive,
This is the best ever current account since I have opened this account very happy 10 stars from Cristian Buzan very convenient app and customer support are in the top.,positive,
Great App.Easy to use with low tax rates.,positive,
The best money transfer app!,positive,
Great transfer rates and easy to use app.,positive,
"I was worried because it was so easy, every other way I've tried to transfer money was difficult, complicated and expensive.",positive,
Love the low international fees!,positive,
"Smooth Transactions, fair transfer fee's and very fast!",positive,
"Doesn't matter whether weekends or weekdays, your get your money the same day 👏👏👏 Kinda hard during first transactions but after that, it was smooth sailing 👌👌👌 good job!",positive,
Nice It gives exact value for exchange and transfer fee is also good.And it is quit fast.,positive,
"4,000,000 limit not enough.",negative,
At least 20million per transfer when sending to Nigeria bank,neutral,
"I like the way it gves you the progress of the transfer, so you know the status and you know exactly where your money is.",positive,
Nice app for overseas transactions,positive,
Fast signup and verification and good transfer rates.,positive,
It's easy faster and secure app to send money.. it's very good app,positive,
Very useful and best rate,positive,
"The Mastercard and virtual UK, POLISH, US account is absolutely wonderful.",positive,
Best Financial services for transfers worldwide!,positive,
Quick and easy to use and great rates!,positive,
I use my card to buy things and send money abroad too.,neutral,
Very practical card and app.,positive,
Great app and easy to manage your money Sorry for incorrect comment previously,positive,
Super fast internationals transfers at great clear rates with no hidden costs.,positive,
And to top it a free card and local bank account!,positive,
"Have used many times, the first transaction takes a little long but since then I have not had a single problem.",positive,
"Very good app, fast and secure transfer.",positive,
Being a frequent traveler and months of working in difirent countries every year..Transferwise is by far the best thing that could happen to me for transfering my money to my accounts.,positive,
Easy to send money from another country.,positive,
"Amazing, trustworthy, fastest, competitive rate... Thankyou transferwise😊💞",positive,
"Great way to transfer money between countries, without getting ripped off by the banks and their ridiculous rates",positive,
this company is great for sending money.,positive,
"quick transfers, less bureaucracy.",positive,
Amazing instant money transfer.awesome,positive,
Very easy use to the app and can send our money in fraction of second.,positive,
"Very easy to use, lowest rates by far",positive,
Good rate and fast.,positive,
It was fabulous.. My family received money some few minutes..,positive,
This is a good one for transfers your money in whole world..,positive,
Easy as once do afew transfers..Great app,positive,
Best ever money transfer app.,positive,
Just a heads up: on weekends you will not get instant transfers,negative,
"The first transfer was smooth, however a bit slow, but so far I'm satisfied.",neutral,
The best way to change my Eur to Huf!,positive,
"Best and fastest way to send money across the world,with the best fees,if you choose fast transfer,it will arrive in a matter of hours not days.",positive,
Also you can get free bank accounts in TransferWise!,positive,
"This is an awesome, transparent and clearly thought out application with the best rates you'll get.",positive,
(It even tells you if there's a better rate elsewhere) The application is not only intuitive but extremely impressive.,positive,
This is what money transfer should feel like.,positive,
Its really a best app to send money home.,positive,
The best and best app ever to send money overseas...,positive,
"Borderless account is the bank account of the future, available today.",positive,
My first international transfer was so smooth and seamless,positive,
Need to verify my ID.,neutral,
"Always loved the app, and now with Debit Card, really nice!",positive,
I can only edit the description.,negative,
"Also, I would like to know if it's possible to edit a repeat transaction.",neutral,
First transaction was good.,positive,
Everything else work fine (from notifications to reactivity),positive,
"Transferwise has good FX rates, especially compared to traditional banks.",positive,
Once bank account details are set-up it is easy to move currency around.,positive,
"For example, each currency has two separate ""add"" and ""convert"" actions, but non of them can be used to convert *to* that currency using your TransferWise balance.",negative,
I haven't received my my debit card yet( requested 21st of January.,negative,
"they brag about themselves on their debit card and hou cheap than any other company, but I just have no other way to use my money on transferwise's account.",negative,
Updated I ordered again and have received the debit card,neutral,
Is it possible to transfer money from India to Malaysia?,neutral,
Overall good but still chargers are too high and exchange rate better but not so awesome,negative,
Because on Sundays and Saturdays It does not transfer money.What if a fellow needs money on Saturday and Sunday in Emergency?,negative,
"The transfer process is quick and smooth, and my money arrives right away.",positive,
Why can't I see my account details?,negative,
And why can't I see the bank details of my activities?,negative,
"page where you choose the method of payment, presumably the higher the fee, the faster the delivery to your destination.",negative,
"App experience is smooth for fast transfers, but they charges thrice the fee which they showed at the confirmation screen.",negative,
"When I raised the support ticket, they are saying it's an international card.",negative,
With out customer consent or also not showing at confirmation screen how they can charge that huge fee.???,negative,
"Update : Sorry to say it was Never showed me the updated Fee, Only I got to know after completing the transfer.",negative,
iOS users can see incoming funds from the app.,neutral,
If I try to add currency my bank sends an email with a verification code.,neutral,
I want transfer money from India but it says the application is on beta.,negative,
"Another thing is the minimum i could transfer is Rs 50k, you gotta be joking.",negative,
"My MasterCard Platinum and Visa Gold from a Nigerian bank, which works without any issues in any operations, are not working with this app ***EDITED*** After reviewing the issue with both my bank and TransferWise none can explain why it happens (seems I'm the only one) So I could only make transactions of max.",negative,
"$500 at once through my debit card But still there is also a daily limit for debit cards of $2,000, and also a 5% commission fee added to the payment, making imho the transactions not interesting through this service and I'm ending with same cost of a traditional transfer, or even higher.",negative,
Now you have to search for the logout button!!,negative,
Lowest fees of any provider.,positive,
Easy to find valuable information and reviews as well as add reviews!,positive,
"Perfect for travelers, I always look for places to eat here.",positive,
Good suggestions.,positive,
"Easy to find the best deals in the area your going to whether its finding hotels, dining, or things to do.",positive,
How can an excellent Android app go from bad to worse to mediocre...it's like a golfer changing his or her championship swing several times then not being able to break par again...the tablet app is useless...where are we to find one's saved trips or whatever....?,negative,
